"authors.keyword: Descending",Count
"H. Kurtenacker",824
"Hong Lu",824
"Janet Raloff",824
"L. Barone",824
"M. Schott",824
"P. Capiluppi",824
"S. Srinivasan",824
"T. Okamoto",824
"Yoshio Imai",824
"C. Lange",823
"E. Lee",823
"Jianjun Li",823
"José Elguero",823
"Song Yang",823
"Yu Jiang",823
"D. Treille",822
"H. Hartmann",822
"H. Neumann",822
"Jun Xie",822
"Lei Zheng",822
"U. Müller",822
"V. Blobel",822
"Chun Yang",821
"Hui Zhu",821
"J. Walker",821
"M. G. VORONKOV",821
"Mei Liu",821
"T. Endo",821
"T. Sugimoto",821
"A. Campbell",820
"Bin Gao",820
"K. Meier",820
"Katsuhiko Mikoshiba",820
"Yu Tian",820
"Zhihua Wang",820
"Amos B. Smith",819
"Hong Shen",819
"Hua Zhao",819
"M. King",819
"T. Ueda",819
"Yun Yang",819
"P. Hanke",818
"P. Weber",818
"Toshiharu Nagatsu",818
"Zhao Wang",818
"Akira Matsuda",817
"C. Zhou",817
"Dan Xu",817
"L. Acker",817
"Eiichi Nakamura",816
"Josef Michl",816
"Jun Cao",816
"Michael Green",816
"Peng Huang",816
"S. Fischer",816
"W. Czysz",816
"F. Cerutti",815
"J. Freeman",815
"K. Doroba",815
"M. Nakano",815
"Qiang Huang",815
"Weiwei Zhang",815
"George R. Pettit",814
"Gernot Frenking",814
"Jun Peng",814
"M. Pieri",814
"M. Rodriguez",814
"M. Yamashita",814
"Ping Yu",814
"S. Xie",814
"Yi Zhu",814
"H. Zimmer",813
"Jing Tian",813
"John B. Heppner",813
"P. Das",813
"S. Paoletti",813
"Gregg W. Stone",812
"Hiroshi Sasaki",812
"K. Kawagoe",812
"T. Maruyama",812
"Yuan Yao",812
"J. Nash",811
"K. Miller",811
"Lijuan Zhang",811
"S. Mohan",811
"Zhuo Wang",811
"C. Shaw",810
"Eli Ruckenstein",810
"Kai Xu",810
"P. Baillon",810
"Philip Scheltens",810
"W. Jiang",810
"Ying Zheng",810
"A. Fernández",809
"H. Tamura",809
"J. Yuan",809
"N. Kimura",809
"Takeshi Watanabe",809
"Yi He",809
"A. Giassi",808
"Brian H. Kleiner",808
"C. Hu",808
"K. Shibata",808
"M. Aguilar-Benitez",808
"M. Mannelli",808
"M. Matsuda",808
"Seik Weng Ng",808
"Sushil Kumar",808
"Dong-Hyun Kim",807
"E. Müller",807
"G. Azuelos",807
"G. Vesztergombi",807
"R. Kato",807
"Wei Xia",807
"A. Russo",806
"D. Loukas",806
"M. Endo",806
"R. Davis",806
"C. Kourkoumelis",805
"Hui Cao",805
"J. Becker",805
"S. Morita",805
"Wei Dai",805
"A.K. Gupta",804
"Alberto Briganti",804
"Dorothy Bonn",804
"Hiroyuki Suzuki",804
"Robert Huber",804
"S. Brandt",804
"Yong Hu",804
"A. Baroncelli",803
"A. Beck",803
"Isao Mochida",803
"Jon Zubieta",803
"K. Goto",803
"M. Green",803
"S. Johnson",803
"Xuefeng Wang",803
"C. Meroni",802
"C. Troncon",802
"Henning Hopf",802
"Hong Liang",802
"Jun Zheng",802
"Michael Grätzel",802
"Min Sun",802
"S. Asai",802
"Akira Ito",801
"D. Yang",801
"J. Davies",801
"John Q. Trojanowski",801
"M. Maeda",801
"M. Robinson",801
"Masato Tanaka",801
"Yong Wu",801
"Zhiyong Wang",801
"G. Wu",800
"HAMAO UMEZAWA",800
"Hiroshi Ueda",800
"Hui Shen",800
"Ivano Bertini",800
"Joseph Palca",800
"Michael J. Weaver",800
"Alka B. Garg",799
"Chi-Tang Ho",799
"Feng Ding",799
"Hoong-Kun Fun",799
"Mark S. Gordon",799
"Praveen Kumar",799
"Wei Cui",799
"Y. Nakagawa",799
"A. Dominguez",798
"G. Tonelli",798
"H. Wolf",798
"J. Ludwig",798
"Jing Xie",798
"M. Taylor",798
"Toshiyuki Tanaka",798
"Ke Wu",797
"M. Weiss",797
"Yong Yu",797
"Jerzy Leszczynski",796
"P. Simon",796
"Y. Pan",796
"Alex Jacobson",795
"G. Flügge",795
"Jack Lewis",795
"Liang Ma",795
"M. Felcini",795
"Susan Milius",795
"V. Vrba",795
"A. Haas",794
"Fei Zhang",794
"J. Lewis",794
"S. Uchida",794
"T. Ando",794
"Xi Liu",794
"A. Wolf",793
"Bing Yang",793
"Bo Feng",793
"G. Schneider",793
"Haibo Wang",793
"Hiroshi Fujita",793
"Judith A. K. Howard",793
"S. White",793
"Wayne L. Mattice",793
"Xiaoping Wang",793
"Xiaoyu Li",793
"Yue Ma",793
"D. Singh",792
"G. Quast",792
"M. Ali",792
"Roger Smith",792
"Y. Yan",792
"Yi Hu",792
"A. Keller",791
"Chao Sun",791
"Kun Xu",791
"Yuan Lin",791
"C. Wilson",790
"Jingjing Wang",790
"Jun Cai",790
"Kenneth B. Wiberg",790
"Lei Song",790
"M. David",790
"William J. Evans",790
"Yufeng Zhang",790
"Lin Sun",789
"R. Hill",789
"Sarah Ramsay",789
"Satoshi Yamamoto",789
"Xin Ma",789
"Atsushi Tanaka",788
"D. Lellouch",788
"J. Rander",788
"P. Karrer",788
"S. Takeda",788
"Toyoki Kunitake",788
"Young Ho Kim",788
"A. Shah",787
"C. Schmitt",787
"M. Winter",787
"P. Giacomelli",787
"P. Sherwood",787
"S. Sakai",787
"John W. Moore",786
"K. Yasuda",786
"Nan Chen",786
"P. Lee",786
"Xuan Li",786
"Ying He",786
"A Kumar",785
"D. Schmitz",785
"G. Bernardi",785
"M. I. Kabachnik",785
"Thomas C. W. Mak",785
"Wei Ding",785
"Wei Yuan",785
"Weidong Zhang",785
"Akira Sato",784
"J. Haas",784
"M. Tamura",784
"M. Therese Southgate",784
"Tsutomu Araki",784
"A. Kimura",783
"Alan H. Cowley",783
"Jianjun Liu",783
"Akira Saito",782
"Ernest E. Moore",782
"Hiroshi Ikeda",782
"Jie Ren",782
"K. Hirata",782
"Masatsugu Hori",782
"P. Jarry",782
"Paul Mitchell",782
"T. Matsuura",782
"X. Guo",782
"A. Jain",781
"K. Miura",781
"M. White",781
"Werner Herz",781
"Xiaoyu Wang",781
"A. Rodríguez",780
"Alan M. Bond",780
"G. Martinelli",780
"L. Silvestris",780
"Norbert M. Seel",780
"P. K. Shukla",780
"Qing He",780
"Ray L. Frost",780
"Yang Shen",780
"Bo Zhu",779
"I. Gorelov",779
"Kai Huang",779
"P. Lebrun",779
"Y. Liang",779
"Zhuo Li",779
"A.M. Api",778
"Avelino Corma",778
"Avery A. Sandberg",778
"Hui Gao",778
"Lars Arendt-Nielsen",778
"M. Krammer",778
"T. Hayat",778
"Tingting Wang",778
"C. Dionisi",777
"Dan Chen",777
"Jun Liang",777
"Koji Yamada",777
"P. Roy",777
"Robert J. Angelici",777
"S. Wilson",777
"T. Masumoto",777
"T. Nomura",777
"Alun Anderson",776
"Guang Li",776
"Hans Pritzkow",776
"Jiang Wang",776
"Jing Feng",776
"T. Yokoyama",776
"Xiaoming Zhang",776
"Yehuda Shoenfeld",776
"C. Brown",775
"N. Watanabe",775
"Y. Ohta",775
"H. Tang",774
"Harry R. Allcock",774
"L. Cifarelli",774
"Mark P. Mattson",774
"T. Uchida",774
"V. Hedberg",774
"A. Torres",773
"Gerhard Köbler",773
"J. Fan",773
"Kazuhiro Maruyama",773
"M. Cuffiani",773
"Sanjay Gupta",773
"Stephen L. Buchwald",773
"A. Perrotta",772
"M. Hervieu",772
"Wolfgang Maier",772
"Zhijun Zhang",772
"G. Organtini",771
"G. Zumerle",771
"Lei Feng",771
"M. Lu",771
"Song Liu",771
"T. Kim",771
"H. Specker",770
"J. Choi",770
"Jian He",770
"Nobuo Tanaka",770
"K. H. Neeb",769
"Ping Jiang",769
"Renu Virmani",769
"S. Marcellini",769
"Tao Tang",769
"W. Lustermann",769
"F. Ragusa",768
"G. Hu",768
"H. Ohta",768
"Haitao Li",768
"Koichi Ito",768
"L. Masetti",768
"G. Bianchi",767
"G. Chiefari",767
"H. Yamauchi",767
"M. Harris",767
"Rodney J. Bartlett",767
"T. Higuchi",767
"Y. Zeng",767
"A. Srivastava",766
"P. Checchia",766
"Richard Smith",766
"W. Wiedenmann",766
"Y. Cui",766
"Yong Zhu",766
"J. Rothberg",765
"Luigi Ferrucci",765
"Peter Fischer",765
"Shan Li",765
"Takeji Hashimoto",765
"Toshinobu Higashimura",765
"Di Liu",764
"F. Gao",764
"Hua Zhou",764
"Jingjing Liu",764
"H. Kojima",763
"Horst Kessler",763
"J. Morales",763
"Jianjun Zhang",763
"N. Smith",763
"Satoshi Takahashi",763
"Xavier Bosch",763
"Y. Takeuchi",763
"G. Bagliesi",762
"Jun Du",762
"R. Klanner",762
"S Kumar",762
"Shan Wang",762
"Shinji Tanaka",762
"Jianping Wang",761
"L. Jones",761
"Ling Zhao",761
"M. Rescigno",761
"Michael Williams",761
"R. Johnson",761
"Wei Jin",761
"A. Nisati",760
"Gang Hu",760
"Jingjing Zhang",760
"Lihua Wang",760
"Meng Liu",760
"P. Janot",760
"T. Taniguchi",760
"X. Ma",760
"B.F. Morrey",759
"D. Rousseau",759
"E. Ernst",759
"Fei Huang",759
"Jianjun Wang",759
"Mark Hallett",759
"Yi Cui",759
"D. Pallin",758
"F. Xu",758
"P. Garcia-Abia",758
"Ping Huang",758
"Qian Sun",758
"Yu Han",758
"J Liu",757
"Om Prakash",757
"RUDY M. BAUM",757
"T. Venkatesan",757
"Yang Hu",757
"A. Ivanov",756
"Abdullah M. Asiri",756
"Hiroyuki Kobayashi",756
"K. Fujimoto",756
"Margot Zimmermann",756
"O. Biebel",756
"Qiong Wang",756
"Xiaoli Zhang",756
"Y. Mao",756
"C. Simon",755
"Charles Marwick",755
"Jinde Cao",755
"John R. Hughes",755
"K. Tamura",755
"Cheng Peng",754
"Dawei Zhang",754
"Zhong Wang",754
"Benjamin Chu",753
"Haitao Wang",753
"Koji Tanaka",753
"R. Tenchini",753
"Robert H. Grubbs",753
"S. Ragazzi",753
"T. Moa",753
"Christopher Glidewell",752
"Dong Liang",752
"H. Jones",752
"Herschel Rabitz",752
"Jing Han",752
"K. Yang",752
"L. Shi",752
"Li Feng",752
"M. Ogawa",752
"Michael Müller",752
"P. Ramasamy",752
"Xinyu Zhang",752
"Chao Huang",751
"E. Graziani",751
"Elliot K. Fishman",751
"G. Carlino",751
"H. Kronmüller",751
"Hui Xie",751
"Jianfeng Li",751
"Jouni Uitto",751
"M. Rosenberg",751
"P. Laurelli",751
"T. Camporesi",751
"Wei Tian",751
"Yoshinori Nozawa",751
"C. N. R. Rao",750
"G. Cowan",750
"J. Hall",750
"Josef Finsterer",750
"Satoshi Nakamura",750
"Wen Gao",750
"Z. Yan",750
"Hiroshi Kato",749
"Jie Luo",749
"Li Zheng",749
"Qin Zhou",749
"R. Sobie",749
"Xiaofeng Li",749
"Yoshio Okamoto",749
"David Cohen",748
"G. Herten",748
"G. Rudolph",748
"H. Hasegawa",748
"John P. Giesy",748
"M. Basile",748
"Masayuki Yamamoto",748
"P.R. Norton",748
"Tao He",748
"A. Markou",747
"Daniel S. Berman",747
"E. Sanchez",747
"K. Nakanishi",747
"Kazuwa Nakao",747
"L. Cheng",747
"M. Biasini",747
"Pengfei Li",747
"Peter Smith",747
"Takashi Taniguchi",747
"Atta M. Arif",746
"H. Koch",746
"J. Narayan",746
"J. S. Kim",746
"Jie Ding",746
"S. Schneider",746
"Shuai Liu",746
"Chen Zhao",745
"G. Margaritondo",745
"Hiroshi Wada",745
"J. Evans",745
"Mark Johnson",745
"S. Han",745
"Shuang Zhang",745
"Yuan Hu",745
"H.J. Lee",744
"Hui Yan",744
"L. Rossi",744
"Paul v. R. Schleyer",744
"Steven Dickman",744
"T. Matsuo",744
"Xiaohong Zhang",744
"Xiaohui Liu",744
"Xue Yang",744
"Alan R. Fersht",743
"C. HOLDEN",743
"H. El Mamouni",743
"H. Oberlack",743
"L. Lista",743
"Xiaoyu Zhang",743
"Anthony Linden",742
"C. Kleinwort",742
"Christopher T. Walsh",742
"David H. Spodick",742
"Lina Wang",742
"MICHAEL FREEMANTLE",742
"Naresh Kumar",742
"S. Amelinckx",742
"T. Hirano",742
"Yun Zhao",742
"Andrew T. McPhail",741
"Feng Tian",741
"H. Werner",741
"J. Martinez",741
"Jie Yin",741
"T. Nagai",741
"K. Morita",740
"Keisuke Suzuki",740
"Tao Feng",740
"B. Cox",739
"C. David",739
"M. Hartmann",739
"T. Imai",739
"A. Cohen",738
"Bin Lu",738
"E. Fernandez",738
"J. Moss",738
"John Williams",738
"B. Jones",737
"Hui Zheng",737
"Issei Komuro",737
"M. Nozaki",737
"Michael D. Ward",737
"R. Felix",737
"Li Yuan",736
"M. Ohta",736
"Masood Parvez",736
"R. K. Singh",736
"Ran Li",736
"Yun Zhou",736
"H. Pohl",735
"J.S. Dungan",735
"Jianbo Wang",735
"Ping Zhu",735
"Takashi Saito",735
"Yong Guo",735
"Kjell Fuxe",734
"Luis A. Oro",734
"M. Ahmed",734
"STEPHEN STINSON",734
"T. Kojima",734
"F. Ligabue",733
"Herbert Waldmann",733
"Hongwei Liu",733
"Lei Han",733
"P. V. Petrovskii",733
"Philip P. Power",733
"R. Meyer",733
"Rui Ma",733
"WILLIAM STORCK",733
"Y. Fukuda",733
"C. Mariotti",732
"Jie Han",732
"Mark A. Smith",732
"R. Cowen",732
"T. Noguchi",732
"Yong Sun",732
"A. Bruni",731
"Edward S. Yeung",731
"G. Giacomelli",731
"J. Ruiz",731
"L. Gauthier",731
"Ralph H. Colby",731
"X Zhang",731
"A. Ouraou",730
"G. Meyer",730
"J. Hill",730
"Jiang Zhu",730
"L. Mirabito",730
"Lin Cheng",730
"Noboru Mizuno",730
"S. Yu. Yunusov",730
"W. Koch",730
"A. Jeffrey Giacomin",729
"D. Richter",729
"E. Thomas",729
"H. Sakurai",729
"J. Salt",729
"S. Takeuchi",729
"Teruo Okano",729
"A. Gomes",728
"Albert Co",728
"C. Paus",728
"D. Creanza",728
"G. Russo",728
"Gary L. Leal",728
"H. Luo",728
"Hong Lin",728
"Jianguo Wang",728
"Kelly Morris",728
"N. Yoshida",728
"Nobuyuki Tanaka",728
"R. Lee",728
"Takeshi Yamada",728
"WARD WORTHY",728
"Yao Lu",728
"A. Yariv",727
"F. Simonetto",727
"Isao Karube",727
"Ivars Peterson",727
"K. Kitamura",727
"Rong Huang",727
"Y. Yuan",727
"Yu Guo",727
"D. Lewis",726
"Feng Qiu",726
"J. R. Durig",726
"J. Simpson",726
"Jie Yan",726
"Jin Young Kim",726
"Peter S. White",726
"Rui Zhou",726
"S. Mukhopadhyay",726
"Xi Yao",726
"A. Cattai",725
"A. Moreno",725
"Hideki Yoshikawa",725
"Jiang Liu",725
"Pierre I. Karakiewicz",725
"H. Schmid",724
"J. Allison",724
"J. Simon",724
"Kenneth N. Raymond",724
"P. Morettini",724
"P. Schmidt",724
"Robert A. Moss",724
"Si Chen",724
"Isao Saito",723
"Raj Kumar",723
"S. Campana",723
"V. Canale",723
"W. Köhler",723
"Cheng Huang",722
"Giuseppe Remuzzi",722
"Liang Sun",722
"M. Braun",722
"M. Dris",722
"Peter Stiefelhagen",722
"Gang Cheng",721
"S. Song",721
"S. Suresh",721
"Xia Zhao",721
"Yao Liu",721
"Ying Shi",721
"Cong Liu",720
"D. Zhou",720
"G. Bruni",720
"G. Lutz",720
"Li Song",720
"M. Steiner",720
"Rajendra Prasad",720
"S. Rajagopalan",720
"T. Rovelli",720
"W. Kim",720
"Y.H. Chang",720
"Yuanyuan Liu",720
"Dennis P. Curran",719
"Jingjing Li",719
"Kai-Nan An",719
"L Wang",719
"M. Dam",719
"P. Krieger",719
"Rajiv Kumar",719
"Wolfgang Knoll",719
"Bin Sun",718
"Dietmar Stalke",718
"H. Smith",718
"H. Yamashita",718
"Helen Collinson",718
"J.C. Ballenger",718
"Luigi G. Marzilli",718
"M. Jung",718
"Peter M. Bell",718
"Richard A. Walton",718
"Shosuke Yamamura",718
"Tao Hu",718
"Fei He",717
"George W. Holcomb",717
"K. Fischer",717
"Shan Jiang",717
"T. Takeda",717
"Takenobu Kamada",717
"Yang Bai",717
"Yi Cao",717
"A. K. Srivastava",716
"Gregory Y.H. Lip",716
"Muhammad Imran",716
"Qiong Zhang",716
"S. Datta",716
"T. Tanabe",716
"Toshio Honda",716
"Y. Ono",716
"Irwin Goodwin",715
"K. Yamazaki",715
"P. Ronchese",715
"Peter J. Stang",715
"R. Gray",715
"Russell S. Drago",715
"A. Rose",714
"H. P. Kaufmann",714
"Le Zhang",714
"M. Fisher",714
"Ming Yan",714
"Paul Williams",714
"S.K. Sharma",714
"T. Yasuda",714
"Ting Yang",714
"Tingting Zhang",714
"A. Ahmed",713
"Hideki Sakurai",713
"Liang Wu",713
"S. Patricelli",713
"Yan Zheng",713
"J. Robinson",712
"Jing Luo",712
"K. Freudenreich",712
"Makoto Tanaka",712
"T Watanabe",712
"Tamio Hayashi",712
"V.K. Gupta",712
"Z. Lu",712
"Arthur E. Martell",711
"C. Stanescu",711
"Carlo Alberto Maggi",711
"G. Van Tendeloo",711
"G. Zito",711
"J. Wei",711
"Li Wu",711
"N. Demaria",711
"S. Sinha",711
"Chao Lu",710
"D. Wegener",710
"George B. Kauffman",710
"Hiroshi Takeda",710
"N. Cavallo",710
"S. Becker",710
"T. Ekelof",710
"Ying Han",710
"Yu Wu",710
"Alberto Mantovani",709
"Christopher M. Dobson",709
"H. Xiao",709
"Hongyan Wang",709
"J. Liang",709
"L.R.",709
"B. Gobbo",708
"Bill Hancock",708
"G. Valenti",708
"Jean-Marie Lehn",708
"Jun Wei",708
"Nan Liu",708
"R. Leitner",708
"R.P. Singh",708
"Tony Reichhardt",708
"Gerd Meyer",707
"Henry Gilman",707
"J. Young",707
"A. Mukherjee",706
"G. Crosetti",706
"Gary S. Mintz",706
"H. Gao",706
"Jia Xu",706
"Kazunari Domen",706
"Simon G. Bott",706
"Y. Uchida",706
"A. Saito",705
"D.L. Massart",705
"Jun Han",705
"Pengfei Zhang",705
"R.H. Oppermann",705
"Roland K. Robins",705
"S. Zhu",705
"Y. Nagai",705
"Y. Xiao",705
"Bridget M. Kuehn",704
"L. A. PAQUETTE",704
"M. Nishimura",704
"Takeshi Suzuki",704
"U. Gasparini",704
"Z. Zhu",704
"A. Takahashi",703
"H. Fox",703
"K.S. Lee",703
"P. Schacht",703
"Atta-ur-Rahman",702
"F. Hahn",702
"G. A. TOLSTIKOV",702
"Hai Huang",702
"J. Silva",702
"R. Beuselinck",702
"R. Roy",702
"S. Ray",702
"Shinya Kawai",702
"David Lee",701
"G. Tsipolitis",701
"L. Smith",701
"Liang Gao",701
"Lingling Wang",701
"Michael Davis",701
"Ming Gao",701
"Quan Li",701
"T. Honda",701
"Tingting Li",701
"C. H. Wang",700
"F. Fiedler",700
"H. Haenel",700
"Hideo Hosono",700
"Lei He",700
"Mark S. Wrighton",700
"Myung Ho Jeong",700
"A. Maio",699
"Deepak L. Bhatt",699
"Joshua Jortner",699
"Luis Castedo",699
"Wei Ji",699
"Wei Qin",699
"Hongwei Wang",698
"J. Scott",698
"K. Murata",698
"Martin Karplus",698
"R. H. Holm",698
"S. Shrestha",698
"H. Berger",697
"J. Sánchez",697
"J.-F. Grivaz",697
"K. Nagata",697
"K. Shimada",697
"Karl Wieghardt",697
"M. Kawasaki",697
"M. Villa",697
"R. Bock",697
"F. Meyer",696
"Ge Zhang",696
"Hang Li",696
"J. M. White",696
"Lei Ma",696
"M. Bruschi",696
"Martin B. Leon",696
"Ming Hu",696
"Noboru Sonoda",696
"Paul von Ragué Schleyer",696
"Qinghua Zhang",696
"Xu Han",696
"Yi Guo",696
"Azriel Rosenfeld",695
"B. Müller",695
"Fei Ye",695
"Fei Zhao",695
"Feng Huang",695
"Jing Bai",695
"Joseph W. Ziller",695
"S. Saha",695
"Ben Zhong Tang",694
"Hubert Vaudry",694
"Jianhua Li",694
"Jun'ichi Kobayashi",694
"M. Takeda",694
"S. Giagu",694
"Stephen Budiansky",694
"Ulrich S. Schubert",694
"Wilbert S. Aronow",694
"Akira Fujishima",693
"Guangming Zeng",693
"Neeraj Kumar",693
"W. Kozanecki",693
"Xiaodong Chen",693
"M. Feindt",692
"R.J. Shephard",692
"S. Abe",692
"Sheng Dai",692
"T. Tsuji",692
"T.M. Graber",692
"Tao Lin",692
"A. Thompson",691
"D. Huang",691
"G. Adam",691
"H. Cheng",691
"Itamar Willner",691
"K Suzuki",691
"K. Hasegawa",691
"M. Hansen",691
"Robert R. Holmes",691
"Tsutomu Suzuki",691
"Y. Xia",691
"Yan Cheng",691
"Bin Guo",690
"C. NORMAN",690
"H. Zheng",690
"J. Zheng",690
"Jean Martinez",690
"Kurt Dehnicke",690
"Liang Guo",690
"Min Wei",690
"William Diebold",690
"Xiaohui Zhang",690
"Yin Wang",690
"C. Grandi",689
"F. Schneider",689
"J. Peters",689
"Jianguo Zhu",689
"R. Kowalewski",689
"R. Suzuki",689
"A. Venturi",688
"E.J. Corey",688
"Mitsuru Ueda",688
"R. de Asmundis",688
"S. Goldfarb",688
"A. Bay",687
"A. Tsirou",687
"Bo Yan",687
"C. Bourdarios",687
"C. Zhao",687
"Gerhard Bringmann",687
"Giuseppe Mancia",687
"J. Feng",687
"John D. Roberts",687
"Ling Qin",687
"Makoto Shimizu",687
"R. Yoshida",687
"S. Chakrabarti",687
"S. Kondo",687
"Shuo Zhang",687
"T. Miyamoto",687
"Y. Aoki",687
"A. Lewis",686
"C. Sbarra",686
"Isao Tanaka",686
"J. Petersen",686
"J. Yan",686
"Qian Zhou",686
"S. Ueda",686
"Y. Sakurai",686
"Zhiqiang Zhang",686
"C. Johnson",685
"Di Chen",685
"Gottfried Huttner",685
"K. Nakayama",685
"L. Tauscher",685
"Ling Huang",685
"Paul G. McDonough",685
Sailer,685
"Y. Ando",685
"Haiyan Li",684
"Hiroshi Furukawa",684
"Jian Song",684
"Makoto Kimura",684
"Nobuyoshi Shimizu",684
"Qian Wu",684
"S. Tarem",684
"T. Adye",684
"Y. Miyamoto",684
"Britton Chance",683
"C. García",683
"Hironobu Sasano",683
"Jie Feng",683
"Lester Packer",683
"Min Yu",683
"R. Schulz",683
"Yu Shi",683
"David Wright",682
"G. Tegge",682
"Hiroo Imura",682
"Hisayuki Matsuo",682
"Jan-Åke Gustafsson",682
"Johnny L. Matson",682
"K. Fukuda",682
"K. Maruyama",682
"Qiang Guo",682
"Sung-Hoon Kim",682
"T. Hirose",682
"Xiaowei Zhang",682
"A. Pfeiffer",681
"Chih-Ping Chen",681
"J. Sanchez",681
"K Sato",681
"Kai Zhao",681
"M. Vogel",681
"P. Neuhaus",681
"Ping Xie",681
"Rudolf Schmid",681
"T. Takagi",681
"Zhiqiang Liu",681
"C. Bernard",680
"David A. Evans",680
"Dongho Kim",680
"Gary F. Bennett",680
"H. Schäfer",680
"J. Goldberg",680
"M. Morita",680
"M. Napolitano",680
"Qiang Yu",680
"Yue Zhou",680
"A. Kettrup",679
"Deepak Kumar",679
"E. Segal",679
"F. Matorras",679
"Li Deng",679
"S. Prakash",679
"Shigeru Nagase",679
"Shuo Chen",679
"Y. Ishii",679
"Y. YAMAMOTO",679
"Yang Xiang",679
"A. Ventura",678
"F. Ceradini",678
"G. Lucovsky",678
"G. Mirabelli",678
"He Tian",678
"R. Berger",678
"S. Goto",678
"Tomoya Ogawa",678
"Yu Zheng",678
"Colin Eaborn",677
"D. Fassouliotis",677
"Hiroshi Fukuda",677
"K. Ohta",677
"Kazuhiko Koike",677
"Koji Abe",677
"P. Zalewski",677
"Ping Sun",677
"S. Sun",677
"Brian D. Sykes",676
"Goverdhan Mehta",676
"H. Bauer",676
"Hikaru Matsuda",676
"Jia Zhang",676
"Jun Fan",676
"Michael Jackson",676
"N. Holonyak",676
"P. de Jong",676
"S. Narayanan",676
"Takashi Sasaki",676
"W. Becker",676
"W. Meyer",676
"William H. Miller",676
"Xiao Han",676
"H. Nakagawa",675
"Huan Chen",675
"Ian Manners",675
"K. Jung",675
"M. Nomura",675
"Michael Jones",675
"Michael L. Gross",675
"Qing Huang",675
"Shuo Li",675
"W. Kittel",675
"Xu Zhao",675
"Y. Fujiwara",675
"Bin Zheng",674
"Dongmei Li",674
"Ian Stewart",674
"J. Lang",674
"James A. Marshall",674
"K. Runge",674
"M. Battaglia",674
"Q. Wu",674
"S. Schael",674
"S.Y. Lee",674
"Seung-Jung Park",674
"T Kobayashi",674
"T. Kitamura",674
"WILLIAM J. STORCK",674
"Wataru Ando",674
"Wolfgang Beck",674
"Xavier Solans",674
"Yasuyuki Suzuki",674
"A. N. PUDOVIK",673
"B. Stugu",673
"Bernd Wrackmeyer",673
"Bo Tang",673
"Hiroshi Ogawa",673
"Lin Wu",673
"M. Jackson",673
"Miao Li",673
"Qun Liu",673
"Simon Parsons",673
"Y. Nakano",673
"Y. Wada",673
"A. Messina",672
"Bruce S. McEwen",672
"Chao Zhou",672
"Dong Han",672
"J. S. Yadav",672
"K. Jakobs",672
"Lei Lei",672
"P. Kluit",672
"S. Czellar",672
"T. Todorov",672
"Timothy M. Pawlik",672
"A. Penzo",671
"Bing Yu",671
"C. Bauer",671
"Fernand Labrie",671
"Kiyoshi Takahashi",671
"M. Talby",671
"Ronald Grigg",671
"Takashi Kondo",671
"U. Klein",671
"Wenjun Zhang",671
"A. Ramos",670
"E. Etzion",670
"Gerhard Müller",670
"José Barluenga",670
"K. U. Ingold",670
"L. Yuan",670
"Li Tian",670
"Paul M. Thompson",670
"Xiaowei Li",670
"Zhigang Liu",670
"C. Hill",669
"H. Fuchs",669
"Hans Ågren",669
"J. Letts",669
"K. Masuda",669
"M. Yokoyama",669
"N. Nakamura",669
"C. Chang",668
"Henri Brunner",668
"K. Tanabe",668
"Ran Liu",668
"Ronald G. Harvey",668
"Sabu Thomas",668
"Witold Pedrycz",668
"Y. S. Kim",668
"A. Staiano",667
"Akira Kobayashi",667
"B. Meyer",667
"H. Hofer",667
"Michel Lazdunski",667
"S. K. Sharma",667
"Wen Yang",667
"F. Cindolo",666
"G. Duckeck",666
"H. Winkler",666
"Hiroshi Hashimoto",666
"Lei Dong",666
"Morton J. Kern",666
"Nicole LeBrasseur",666
"P. Turner",666
"R. Garcia",666
"A. Passeri",665
"C. Grab",665
"Geoffrey A. Ozin",665
"J. Friedrich",665
"M. Nakajima",665
"T. Wagner",665
"Tao Peng",665
"Ulrich Schubert",665
"B. Åsman",664
"C.H. Lee",664
"D. Wilson",664
"E. MARSHALL",664
"G. Landwehr",664
"Hans Bock",664
"M. Garcia",664
"Peter J. Barnes",664
"Qiang Ma",664
"Shanshan Li",664
"G. Sauvage",663
"Ian J. Deary",663
"J Lee",663
"J. Cooper",663
"J. Schubert",663
"Jianxin Wang",663
"P. Brown",663
"S. Malik",663
"W. Luo",663
"X. He",663
"Glenn D. Prestwich",662
"K.H. Kim",662
"Xia Chen",662
"Andrew Smith",661
"Fei Wu",661
"J. Campbell",661
"M. Sakai",661
"Michael Hanack",661
"Michael Murphy",661
"Qiang Wei",661
"Shi Chen",661
"T. Kikuchi",661
"Vijay P. Singh",661
"Y. Wei",661
"EARL ANDERSON",660
"Frederik Barkhof",660
"Gang Huang",660
"H. Peng",660
"Hong Zheng",660
"M. Pernicka",660
"Wei Zeng",660
"Yiming Li",660
"Biao Wang",659
"D. Clarke",659
"E. Pennisi",659
"Kari Hemminki",659
"Liming Zhang",659
"P. Johnson",659
"R. Lal",659
"S. Rossi",659
"D. Abbaneo",658
"D. Liko",658
"H. Ohno",658
"J.Y. Kim",658
"K. Koyama",658
"Li Lu",658
"M. Lokajicek",658
"S. Biswas",658
"Stephen J. Benkovic",658
"Yuan Xu",658
"Hua Guo",657
"Mark A. Ratner",657
"Paul Martin",657
"S. Vlachos",657
"V. Gupta",657
